Location,Indicator,Subject,Measure,Frequency,Time,Value,Flag Codes
ITA,CCI,AMPLITUD,LTRENDIDX,M,2019-11,100.4293,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2019-12,100.5821,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2020-01,100.5045,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2020-02,99.92011,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2020-03,98.97895,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2020-04,98.52312,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2020-05,98.66161,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2020-06,99.30588,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2020-07,99.71242,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2020-08,99.93871,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2020-09,99.95824,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2020-10,99.67339,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2020-11,99.50745,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2020-12,99.81211,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2021-01,100.1826,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2021-02,100.5622,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2021-03,100.9779,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2021-04,101.5864,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2021-05,102.3648,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2021-06,102.9537,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2021-07,103.1288,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2021-08,103.0093,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2021-09,102.9093,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2021-10,102.7933,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2021-11,102.5083,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2021-12,102.0598,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2022-01,101.2321,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2022-02,100.1165,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2022-03,98.7692,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2022-04,98.08763,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2022-05,97.72804,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2022-06,97.29221,
ITA,CCI,AMPLITUD,LTRENDIDX,M,2022-07,96.68706,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2017-01,101.468,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2017-02,101.4184,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2017-03,101.5041,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2017-04,101.6876,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2017-05,101.8766,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2017-06,102.0059,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2017-07,102.0124,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2017-08,101.9309,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2017-09,101.8875,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2017-10,101.9151,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2017-11,101.9562,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2017-12,102.0189,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2018-01,102.0951,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2018-02,102.0978,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2018-03,102.0307,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2018-04,101.9441,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2018-05,101.8592,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2018-06,101.7725,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2018-07,101.6796,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2018-08,101.6615,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2018-09,101.6507,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2018-10,101.6125,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2018-11,101.5766,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2018-12,101.5521,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2019-01,101.5638,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2019-02,101.5741,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2019-03,101.574,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2019-04,101.511,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2019-05,101.371,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2019-06,101.1806,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2019-07,101.0236,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2019-08,100.9245,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2019-09,100.9242,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2019-10,100.933,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2019-11,101.038,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2019-12,101.0443,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2020-01,100.9426,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2020-02,100.5351,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2020-03,99.67995,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2020-04,98.84225,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2020-05,98.74178,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2020-06,99.1649,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2020-07,99.59703,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2020-08,99.90456,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2020-09,99.96408,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2020-10,99.78462,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2020-11,99.55039,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2020-12,99.39102,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2021-01,99.28835,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2021-02,99.46095,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2021-03,99.7914,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2021-04,100.145,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2021-05,100.7143,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2021-06,101.2156,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2021-07,101.3633,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2021-08,101.3504,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2021-09,101.3533,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2021-10,101.1558,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2021-11,100.8214,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2021-12,100.5224,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2022-01,100.2812,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2022-02,99.75761,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2022-03,98.87852,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2022-04,98.15732,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2022-05,97.71059,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2022-06,97.24272,
DEU,CCI,AMPLITUD,LTRENDIDX,M,2022-07,96.6154,
